Date,Open,High,Low,Close,Volume,Time
2023-10-03,869.9,870.4,869.05,869.45,8200,13:55:00
2023-10-03,869.45,869.65,868.65,869.15,8897,14:00:00
2023-10-03,869.15,869.3,867.8,867.9,14442,14:05:00
2023-10-03,867.9,868.65,867.5,868.0,6776,14:10:00
2023-10-03,867.65,868.0,867.55,867.8,4833,14:15:00
2023-10-03,867.8,868.95,867.5,868.55,14680,14:20:00
2023-10-03,868.2,869.75,868.2,869.55,20219,14:25:00
2023-10-03,869.85,870.65,869.8,870.3,10765,14:30:00
2023-10-03,870.3,871.4,870.0,871.05,9589,14:35:00
2023-10-03,871.15,871.3,870.9,871.05,10262,14:40:00
2023-10-03,871.2,871.95,870.9,871.65,5909,14:45:00
2023-10-03,871.65,871.65,870.9,871.05,18439,14:50:00
2023-10-03,871.05,871.9,870.35,871.55,20609,14:55:00
2023-10-03,871.55,872.0,871.5,871.65,21543,15:00:00
2023-10-03,871.65,871.7,871.5,871.6,25079,15:05:00
2023-10-03,871.5,871.65,871.05,871.5,39569,15:10:00
2023-10-03,871.05,872.55,870.75,872.45,32797,15:15:00
2023-10-03,872.15,872.5,872.0,872.3,52785,15:20:00
2023-10-03,872.45,874.0,871.95,873.85,36841,15:25:00
2023-10-03,871.9,871.9,871.9,871.9,0,15:30:00
2023-10-04,865.7,869.65,865.7,868.8,18302,09:15:00
2023-10-04,868.8,869.25,867.8,869.25,14123,09:20:00
2023-10-04,869.25,869.8,867.7,868.75,9018,09:25:00
2023-10-04,868.4,868.7,864.7,865.0,14814,09:30:00
2023-10-04,864.65,867.1,864.5,866.05,12140,09:35:00
2023-10-04,866.1,866.95,865.15,866.25,7132,09:40:00
2023-10-04,866.25,868.5,866.0,868.45,7220,09:45:00
2023-10-04,868.05,868.45,866.2,866.8,5914,09:50:00
2023-10-04,866.8,866.8,865.0,865.4,9843,09:55:00
2023-10-04,865.4,865.9,864.5,865.9,7858,10:00:00
2023-10-04,865.95,866.75,865.3,866.5,5447,10:05:00
2023-10-04,866.1,866.3,865.0,865.0,4463,10:10:00
2023-10-04,865.0,866.0,865.0,865.65,8201,10:15:00
2023-10-04,865.35,865.8,864.75,865.1,12106,10:20:00
2023-10-04,865.1,866.0,865.1,865.35,4542,10:25:00
2023-10-04,865.15,866.95,865.15,866.9,10305,10:30:00
2023-10-04,866.9,867.55,866.35,867.4,4282,10:35:00
2023-10-04,867.4,867.45,866.1,867.05,4985,10:40:00
2023-10-04,867.05,867.05,866.45,866.7,3019,10:45:00
2023-10-04,866.7,868.0,866.55,868.0,8106,10:50:00
2023-10-04,867.95,868.4,866.0,866.95,8609,10:55:00
2023-10-04,866.95,867.75,866.95,867.35,5399,11:00:00
2023-10-04,867.35,867.8,866.95,867.2,3597,11:05:00
2023-10-04,867.5,868.95,867.2,868.5,10005,11:10:00
2023-10-04,868.5,869.0,867.3,867.6,6499,11:15:00
2023-10-04,867.6,867.6,867.0,867.35,2849,11:20:00
2023-10-04,867.35,867.75,866.2,867.75,6045,11:25:00
2023-10-04,867.4,868.25,867.05,868.25,4949,11:30:00
2023-10-04,868.25,868.5,867.0,867.4,2617,11:35:00
2023-10-04,867.4,868.55,867.2,867.9,6442,11:40:00
2023-10-04,867.9,868.35,866.3,866.75,9297,11:45:00
2023-10-04,866.75,866.75,865.0,865.0,7004,11:50:00
2023-10-04,865.05,865.55,861.6,861.65,23086,11:55:00
2023-10-04,861.65,861.9,860.75,861.9,10492,12:00:00
2023-10-04,861.5,861.9,860.8,861.15,10906,12:05:00
2023-10-04,860.75,862.0,859.6,861.85,26278,12:10:00
2023-10-04,861.85,862.1,860.35,861.15,8465,12:15:00
2023-10-04,861.15,862.0,860.75,861.4,2321,12:20:00
2023-10-04,861.45,861.45,860.0,860.35,4136,12:25:00
2023-10-04,860.0,861.3,859.5,860.85,7974,12:30:00
2023-10-04,860.85,861.2,860.05,860.65,3344,12:35:00
2023-10-04,860.6,860.95,860.0,860.85,11216,12:40:00
2023-10-04,860.9,861.2,860.0,860.3,14947,12:45:00
2023-10-04,860.3,860.3,859.9,859.9,2252,12:50:00
